Tissue	Target?	z-score	GSM
blood	All Non-Target Tissues	-1.3279940232088183	GSM280217
blood	All Non-Target Tissues	-0.9869296500296304	GSM280217
blood	All Non-Target Tissues	-0.37510299218913756	GSM280217
blood	All Non-Target Tissues	-0.656524927131592	GSM280217
blood	Target Tissue	-0.38433734718332485	GSM463184
blood	All Non-Target Tissues	-0.2031447424441121	GSM463184
blood	All Non-Target Tissues	1.0033626261399704	GSM463184
blood	All Non-Target Tissues	0.8144617938404574	GSM463184
blood	All Non-Target Tissues	-0.40532528163078296	GSM463184
blood	All Non-Target Tissues	0.3008912112214595	GSM463184
blood	Target Tissue	0.10378317304262669	GSM463183
blood	All Non-Target Tissues	-0.6824231883432044	GSM463183
blood	All Non-Target Tissues	1.112155019661567	GSM463183
blood	All Non-Target Tissues	0.5801442461048611	GSM463183
blood	All Non-Target Tissues	0.1990336846246952	GSM463183
blood	All Non-Target Tissues	0.2562093977271647	GSM463183
blood	Target Tissue	0.32405623295795327	GSM463182
blood	All Non-Target Tissues	-0.921248588455517	GSM463182
blood	All Non-Target Tissues	-0.12182021907577237	GSM463182
blood	All Non-Target Tissues	0.4262426398425224	GSM463182
blood	All Non-Target Tissues	-0.509207738525619	GSM463182
blood	All Non-Target Tissues	-0.45247537689189316	GSM463182
blood	Target Tissue	-0.028984088002263035	GSM551197
blood	All Non-Target Tissues	0.3045769128164012	GSM551197
blood	All Non-Target Tissues	-0.18520229584548176	GSM551197
blood	All Non-Target Tissues	-0.16594325636834917	GSM551197
blood	All Non-Target Tissues	-0.08890920171066932	GSM551197
blood	All Non-Target Tissues	-0.003120510091233074	GSM551197
blood	Target Tissue	-0.027400800799800108	GSM551196
blood	All Non-Target Tissues	-0.23163181635171542	GSM551196
blood	All Non-Target Tissues	0.05556048226015451	GSM551196
blood	All Non-Target Tissues	-0.24649753003412753	GSM551196
blood	All Non-Target Tissues	0.4529541488045933	GSM551196
blood	All Non-Target Tissues	0.37831453906561013	GSM551196
blood	Target Tissue	-0.2556149871057001	GSM551195
blood	All Non-Target Tissues	-0.22098091229477554	GSM551195
blood	All Non-Target Tissues	-0.21522505564187072	GSM551195
blood	All Non-Target Tissues	-0.31550048260751196	GSM551195
blood	All Non-Target Tissues	-0.2365969778809893	GSM551195
blood	All Non-Target Tissues	-0.1019033129283645	GSM551195
blood	Target Tissue	-0.07057198552409438	GSM656438
blood	All Non-Target Tissues	0.5411847817904353	GSM656438
blood	All Non-Target Tissues	-0.36481003241649884	GSM656438
blood	All Non-Target Tissues	0.14119142039107588	GSM656438
blood	All Non-Target Tissues	-0.2684322910516091	GSM656438
blood	All Non-Target Tissues	0.31890358059583607	GSM656438
blood	Target Tissue	0.5497268402271948	GSM656439
blood	All Non-Target Tissues	1.0612724587301396	GSM656439
blood	All Non-Target Tissues	-0.6504653902043829	GSM656439
blood	All Non-Target Tissues	0.8398354155957439	GSM656439
blood	All Non-Target Tissues	-0.32629206359912916	GSM656439
blood	All Non-Target Tissues	0.4341216551956786	GSM656439
liver	All Non-Target Tissues	-0.2647328411541647	GSM259831
liver	Target Tissue	3.8587390243041844	GSM259831
liver	All Non-Target Tissues	-0.41690828094746374	GSM259831
liver	All Non-Target Tissues	-0.34473887142878534	GSM259831
liver	All Non-Target Tissues	-0.3528493478915889	GSM259831
liver	All Non-Target Tissues	-0.1407425806340008	GSM259831
liver	All Non-Target Tissues	-0.1682298282485804	GSM259836
liver	Target Tissue	3.5670330710198597	GSM259836
liver	All Non-Target Tissues	-0.10117857582542024	GSM259836
