GeneID	GPL
10742	GPL570
10744	GPL570
10745	GPL570
10746	GPL570
10747	GPL570
10749	GPL570
10750	GPL570
10752	GPL570
10753	GPL570
10755	GPL570
10758	GPL570
1075	GPL570
10761	GPL570
10762	GPL570
10763	GPL570
10765	GPL570
10766	GPL570
10767	GPL570
10768	GPL570
10769	GPL570
10771	GPL570
10772	GPL570
10773	GPL570
10775	GPL570
10776	GPL570
10777	GPL570
10778	GPL570
10780	GPL570
10781	GPL570
10782	GPL570
10785	GPL570
10786	GPL570
10787	GPL570
10788	GPL570
10791	GPL570
10793	GPL570
10794	GPL570
10795	GPL570
10797	GPL570
10798	GPL570
10799	GPL570
107	GPL570
10801	GPL570
10802	GPL570
10803	GPL570
10807	GPL570
10808	GPL570
1080	GPL570
10810	GPL570
10813	GPL570
10814	GPL570
10816	GPL570
10817	GPL570
10818	GPL570
1081	GPL570
10825	GPL570
10826	GPL570
10827	GPL570
10840	GPL570
10841	GPL570
10842	GPL570
10844	GPL570
10845	GPL570
10846	GPL570
10847	GPL570
10848	GPL570
10849	GPL570
1084	GPL570
10850	GPL570
10855	GPL570
10856	GPL570
10857	GPL570
10858	GPL570
10859	GPL570
10861	GPL570
10863	GPL570
10864	GPL570
10865	GPL570
10867	GPL570
10868	GPL570
10869	GPL570
10871	GPL570
10873	GPL570
10874	GPL570
10875	GPL570
10876	GPL570
10879	GPL570
1087	GPL570
10880	GPL570
10881	GPL570
10882	GPL570
10884	GPL570
10885	GPL570
1088	GPL570
10891	GPL570
10892	GPL570
10893	GPL570
10894	GPL570
10895	GPL570
10896	GPL570
10897	GPL570
10898	GPL570
10899	GPL570
1089	GPL570
108	GPL570
10900	GPL570
10902	GPL570
10903	GPL570
10904	GPL570
10905	GPL570
10906	GPL570
10907	GPL570
10908	GPL570
10911	GPL570
10912	GPL570
10913	GPL570
10914	GPL570
10915	GPL570
10916	GPL570
10917	GPL570
10919	GPL570
10920	GPL570
10921	GPL570
10922	GPL570
10923	GPL570
10924	GPL570
10926	GPL570
10927	GPL570
10928	GPL570
10929	GPL570
10930	GPL570
10935	GPL570
10936	GPL570
10938	GPL570
10939	GPL570
10940	GPL570
10942	GPL570
10943	GPL570
10944	GPL570
10945	GPL570
10946	GPL570
10947	GPL570
10948	GPL570
10949	GPL570
10950	GPL570
10952	GPL570
10953	GPL570
10954	GPL570
10955	GPL570
10956	GPL570
10957	GPL570
10959	GPL570
10960	GPL570
10961	GPL570
10962	GPL570
10963	GPL570
10964	GPL570
10966	GPL570
10969	GPL570
10970	GPL570
10972	GPL570
10973	GPL570
10974	GPL570
10975	GPL570
10978	GPL570
10979	GPL570
10980	GPL570
10981	GPL570
10982	GPL570
10983	GPL570
10985	GPL570
10987	GPL570
10988	GPL570
10989	GPL570
10990	GPL570
10991	GPL570
10992	GPL570
10993	GPL570
10994	GPL570
10998	GPL570
109	GPL570
10	GPL570
11000	GPL570
11001	GPL570
11004	GPL570
11005	GPL570
11006	GPL570
11007	GPL570
11009	GPL570
11010	GPL570
11011	GPL570
11012	GPL570
11013	GPL570
11014	GPL570
11015	GPL570
11016	GPL570
11017	GPL570
11018	GPL570
11019	GPL570
1101	GPL570
11020	GPL570
11021	GPL570
11022	GPL570
11024	GPL570
11025	GPL570
11027	GPL570
1102	GPL570
11030	GPL570
11031	GPL570
11033	GPL570
11034	GPL570
11037	GPL570
1103	GPL570
11040	GPL570
11041	GPL570
11043	GPL570
11044	GPL570
11045	GPL570
11046	GPL570
11047	GPL570
1104	GPL570
11051	GPL570
11052	GPL570
11054	GPL570
11055	GPL570
11056	GPL570
11057	GPL570
11059	GPL570
1105	GPL570
11060	GPL570
11061	GPL570
11062	GPL570
11063	GPL570
11064	GPL570
11065	GPL570
11066	GPL570
11067	GPL570
11068	GPL570
11069	GPL570
11070	GPL570
11072	GPL570
11073	GPL570
11074	GPL570
11075	GPL570
11076	GPL570
11078	GPL570
11079	GPL570
1107	GPL570
11080	GPL570
11081	GPL570
11082	GPL570
11083	GPL570
11085	GPL570
11086	GPL570
1108	GPL570
11092	GPL570
11093	GPL570
11094	GPL570
11095	GPL570
11096	GPL570
11097	GPL570
11098	GPL570
11099	GPL570
1109	GPL570
11100	GPL570
11102	GPL570
11103	GPL570
11104	GPL570
11107	GPL570
11108	GPL570
11113	GPL570
11116	GPL570
11117	GPL570
11118	GPL570
11119	GPL570
1111	GPL570
11120	GPL570
11122	GPL570
11123	GPL570
11124	GPL570
11126	GPL570
11127	GPL570
11129	GPL570
1112	GPL570
11130	GPL570
11131	GPL570
11132	GPL570
11133	GPL570
11135	GPL570
11136	GPL570
11137	GPL570
11138	GPL570
1113	GPL570
11140	GPL570
11142	GPL570
11144	GPL570
11145	GPL570
11146	GPL570
11147	GPL570
11148	GPL570
1114	GPL570
11151	GPL570
11152	GPL570
11153	GPL570
11154	GPL570
11155	GPL570
11156	GPL570
11157	GPL570
11160	GPL570
11161	GPL570
11162	GPL570
11163	GPL570
11166	GPL570
11167	GPL570
11168	GPL570
11169	GPL570
1116	GPL570
11170	GPL570
11171	GPL570
11172	GPL570
11174	GPL570
11176	GPL570
11177	GPL570
11178	GPL570
11179	GPL570
1117	GPL570
11180	GPL570
11181	GPL570
11182	GPL570
11183	GPL570
11184	GPL570
11186	GPL570
11187	GPL570
11188	GPL570
11189	GPL570
1118	GPL570
11190	GPL570
11193	GPL570
11194	GPL570
11196	GPL570
11197	GPL570
11198	GPL570
11199	GPL570
1119	GPL570
11201	GPL570
11202	GPL570
11211	GPL570
11212	GPL570
11213	GPL570
11214	GPL570
11215	GPL570
11216	GPL570
11219	GPL570
1121	GPL570
11221	GPL570
11222	GPL570
11226	GPL570
11228	GPL570
1122	GPL570
11230	GPL570
11231	GPL570
11232	GPL570
11234	GPL570
11235	GPL570
11236	GPL570
11237	GPL570
11238	GPL570
112399	GPL570
1123	GPL570
11240	GPL570
11243	GPL570
11245	GPL570
112464	GPL570
112479	GPL570
11247	GPL570
11248	GPL570
1124	GPL570
11250	GPL570
11251	GPL570
11252	GPL570
11253	GPL570
11254	GPL570
11255	GPL570
11258	GPL570
11259	GPL570
11260	GPL570
112611	GPL570
11261	GPL570
11262	GPL570
11264	GPL570
11266	GPL570
11267	GPL570
11273	GPL570
11275	GPL570
11276	GPL570
11277	GPL570
11278	GPL570
11279	GPL570
11280	GPL570
11281	GPL570
11282	GPL570
11283	GPL570
11284	GPL570
11285	GPL570
112869	GPL570
112950	GPL570
1129	GPL570
112	GPL570
11309	GPL570
1130	GPL570
11311	GPL570
11313	GPL570
113146	GPL570
11314	GPL570
11315	GPL570
11316	GPL570
113177	GPL570
113178	GPL570
11317	GPL570
11318	GPL570
11319	GPL570
11320	GPL570
11321	GPL570
11322	GPL570
113251	GPL570
11325	GPL570
